role,id,user,query,duration_s,channels,samplerate,peak,rms,dc,body_over_glare_dB,decay_to_-20dB_s,peak_at_s,steadiness_cv,loop_seam_dB,bytes
cloth,591525,"Rudmer_Rotteveel","cloth",3.24,2,48000,0.7631,0.03062,0.00002,-15.38,0.065,1.75,0.674,4.46,77391
cloth,624478,"ValentinPetiteau","cloth",7.613,1,48000,0.872,0.06136,0.00001,8.43,0.05,4.63,0.705,13.77,174336
cloth,670100,"MikeFozzy98","cloth",0.129,1,48000,0.5751,0.12944,-0.00014,29.84,0.035,0.02,9,9,5428
cloth,670101,"MikeFozzy98","cloth",0.13,1,48000,0.6136,0.12849,0.00062,31.68,0.015,0.035,9,9,5636
cloth,670102,"MikeFozzy98","cloth",0.09,1,48000,0.6418,0.13802,-0.00032,32.17,0.02,0.025,9,9,4175
cloth,670103,"MikeFozzy98","cloth",0.127,1,48000,0.5724,0.11749,-0.00001,32.91,0.025,0.025,9,9,5532
cloth,670104,"MikeFozzy98","cloth",0.186,1,48000,0.5685,0.10423,0.00003,34.82,0.03,0.02,9,9,7098
cloth,670105,"MikeFozzy98","cloth",0.173,1,48000,0.5706,0.11144,0,31.06,0.03,0.04,9,9,6888
cloth,670106,"MikeFozzy98","cloth",0.183,1,48000,0.5841,0.10506,-0.00007,31.06,0.035,0.03,9,9,6680
cloth,670107,"MikeFozzy98","cloth",0.213,1,48000,0.6056,0.09446,-0.00007,36.61,0.03,0.03,9,9,7410
cloth,682869,"drewsimko","cloth",1.583,2,48000,0.0065,0.00068,0,9.79,0.08,1.17,0.787,20.1,31776
cloth,682870,"drewsimko","cloth",1.75,2,48000,0.0192,0.00048,0,8.35,0.035,1.16,0.565,15.25,34752
cloth,682871,"drewsimko","cloth",0.958,2,48000,0.0074,0.00028,0,3.16,0.04,0.73,0.388,9,19728
cloth,778063,"BlondPanda","fabric movement",5.072,1,48000,0.9673,0.03266,0.00006,3.79,0.05,3.505,0.424,9,106368
cloth,778064,"BlondPanda","fabric movement",5.302,1,48000,0.9832,0.05773,-0.00001,-5.76,0.115,3.87,0.376,9,109344
cloth,778065,"BlondPanda","fabric movement",4,1,48000,0.9701,0.06483,0,-7.86,0.025,1.3,0.559,9,77280
cloth,778066,"BlondPanda","fabric movement",3.153,1,48000,0.974,0.05011,0,-6.86,0.055,1.26,0.637,9,60768
cloth,778067,"BlondPanda","fabric movement",3.754,1,48000,0.8513,0.04344,-0.00013,-12.28,0.035,2.39,0.678,9,72096
cloth,778068,"BlondPanda","fabric movement",3.143,1,48000,0.9722,0.05692,-0.00001,-5.82,0.17,0.3,0.759,9,58272
cloth,778076,"BlondPanda","fabric movement",5.76,1,48000,0.9696,0.07113,0,0.17,0.09,3.895,0.352,2.87,119856
cloth,778077,"BlondPanda","fabric movement",6.212,1,48000,0.9715,0.05594,-0.00003,4.04,0.055,3.895,0.224,0.38,127200
cloth,778082,"BlondPanda","fabric movement",9.847,1,48000,0.9709,0.03563,-0.00001,-3.81,0.04,3.595,0.284,2.71,221664
cloth,778083,"BlondPanda","fabric movement",5.016,1,48000,0.9709,0.03881,-0.00001,-1.76,0.49,3.45,0.468,9,101616
cloth,778503,"BlondPanda","cloth",0.603,1,48000,0.7606,0.02763,0,-2.02,0.04,0.14,9,9,16224
cloth,778504,"BlondPanda","cloth",0.572,1,48000,0.3683,0.02732,0,3.47,0.165,0.255,9,9,14880
cloth,778505,"BlondPanda","cloth",0.568,1,48000,0.3314,0.026,0,1.98,0.23,0.31,9,9,15456
cloth,778506,"BlondPanda","cloth",0.547,1,48000,0.1553,0.01922,0,4.92,0.43,0.015,9,9,15168
cloth,778507,"BlondPanda","cloth",0.531,1,48000,0.3279,0.0237,0,3.91,0.245,0.045,9,9,15360
cloth,778508,"BlondPanda","cloth",0.576,1,48000,0.5961,0.02772,0,-0.31,0.33,0.075,9,9,16320
cloth,778509,"BlondPanda","cloth",0.61,1,48000,0.1995,0.02241,0,4.59,0.295,0.11,9,9,16752
cloth,778510,"BlondPanda","cloth",0.541,1,48000,0.3067,0.02319,0,2.69,0.4,0.105,9,9,14832
cloth,778511,"BlondPanda","cloth",0.568,1,48000,0.4585,0.02354,0,-0.71,0.325,0.1,9,9,15744
cloth,778512,"BlondPanda","cloth",0.509,1,48000,0.1649,0.02324,0,4.5,0.435,0.025,9,9,13920
cloth,778513,"BlondPanda","cloth",0.629,1,48000,0.3657,0.02552,0,2.19,0.285,0.305,9,9,16608
cloth,778514,"BlondPanda","cloth",0.559,1,48000,0.4026,0.02601,0,2.63,0.12,0.255,9,9,15360
cloth,778515,"BlondPanda","cloth",0.563,1,48000,0.196,0.02091,0,2.48,0.275,0.25,9,9,14832
cloth,778516,"BlondPanda","cloth",0.531,1,48000,0.3193,0.02876,0,4.79,0.02,0.435,9,9,14400
cloth,778517,"BlondPanda","cloth",0.532,1,48000,0.1111,0.01873,0,6.51,0.42,0.07,9,9,14688
dispatch,198273,"JackDeB","letterbox",4.207,2,48000,0.9224,0.03559,-0.00013,-3.93,0.15,1.035,2.444,9,69596
dispatch,248034,"sophiehall3535","hole punch",1.44,2,48000,0.5755,0.01377,0,-6.02,0.01,0.755,1.287,9,27888
dispatch,256744,"radwoc","stamp",1.181,2,48000,0.1872,0.00833,-0.00001,6.15,0.05,0.375,0.667,9,32208
dispatch,256745,"radwoc","stamp",1.239,2,48000,0.1633,0.00722,-0.00004,6.08,0.05,0.41,0.584,9,32448
dispatch,256746,"radwoc","stamp",1.478,2,48000,0.5785,0.0196,-0.00006,7.28,0.05,0.505,0.939,9,39192
dispatch,256747,"radwoc","stamp",1.467,2,48000,0.7672,0.02302,-0.00014,2.44,0.045,0.43,1.154,9,36192
dispatch,256748,"radwoc","stamp",1.254,2,48000,0.4044,0.01564,-0.00003,4.35,0.03,0.34,0.622,9,32832
dispatch,256749,"radwoc","stamp",1.425,2,48000,0.3801,0.01704,-0.00005,8.55,0.05,0.51,0.749,9,37296
dispatch,256750,"radwoc","stamp",1.982,2,48000,0.1497,0.00621,-0.00002,5.48,0.055,0.59,0.99,5.91,50664
dispatch,256751,"radwoc","stamp",0.911,2,48000,0.3733,0.01966,-0.00007,8.54,0.05,0.295,0.639,9,26112
dispatch,256752,"radwoc","stamp",1.536,2,48000,0.2962,0.00995,-0.00003,11.03,0.03,0.64,0.963,8.91,40272
dispatch,256753,"radwoc","stamp",1.59,2,48000,0.3461,0.00963,-0.00004,0.6,0.03,0.52,0.948,3.15,38784
dispatch,256754,"radwoc","stamp",1.164,2,48000,0.2351,0.01219,-0.00006,12.48,0.055,0.33,1.152,9,33792
dispatch,256755,"radwoc","stamp",0.579,2,48000,0.2345,0.00828,-0.00009,6.38,0.035,0.425,9,9,16704
dispatch,256756,"radwoc","stamp",1.466,2,48000,0.1646,0.00546,-0.00003,7.75,0.05,0.46,0.767,9,40800
dispatch,256760,"radwoc","stamp",1.278,2,48000,0.2871,0.01594,-0.00001,14.92,0.03,0.77,0.933,9,34272
dispatch,256761,"radwoc","stamp",1.682,2,48000,0.3007,0.00717,-0.00003,1.67,0.045,0.545,0.698,4.91,42144
dispatch,271488,"hannahj40","hole punch",5.1,1,48000,1,0.03082,-0.00002,-15.64,0.025,0.79,0.803,23.54,132192
dispatch,272449,"ryanharding95","hole punch",5.205,1,48000,0.6977,0.01123,0,-16.73,0.015,4.21,0.869,22.58,136128
dispatch,32361,"Walter_Odington","letterbox",6,1,48000,0.998,0.02453,-0.00045,1.43,0.125,2.585,1.396,1.11,137856
dispatch,32362,"Walter_Odington","letterbox",4.304,1,48000,0.9513,0.02392,-0.0003,-2.7,0.075,1.7,1.827,0.01,99662
dispatch,32363,"Walter_Odington","letterbox",5,1,48000,0.9635,0.013,-0.00018,6.25,0.045,2.405,2.414,7.35,115627
dispatch,328676,"padsterpat","envelope",3.5,1,48000,1.033,0.52336,0.00033,45.07,1.125,0.375,0.515,4.46,27815
dispatch,330268,"deleted_user_2104797","hole punch",2.113,1,48000,0.48,0.01345,0,7.06,0.035,0.715,1.115,8.65,52704
dispatch,330269,"deleted_user_2104797","hole punch",1.327,1,48000,0.8269,0.02774,-0.00002,4.75,0.04,0.49,0.837,9,33408
dispatch,360482,"giddster","hole punch",7.393,2,48000,0.2522,0.00974,-0.00004,-2.2,0.045,4.41,0.805,5.63,188486
dispatch,360492,"giddster","stapler",2.203,2,48000,0.3933,0.02394,0.00001,12.71,0.045,0.565,1.219,19.67,58758
dispatch,361346,"jack126guy","slot machine coin",3.818,2,48000,0.2961,0.04119,-0.00019,-4.69,1.06,0.79,0.135,2.08,94368
dispatch,365503,"Caitlin_100","letterbox",3.436,2,48000,0.8884,0.04474,0.00003,2.25,0.13,1.105,1.381,15.87,80302
dispatch,366081,"simone_ds","hole punch",7.161,2,48000,1,0.01599,0,1.09,0.01,4.735,0.999,4.95,175824
dispatch,367462,"univ_lyon3","slot machine coin",6.01,2,48000,0.6967,0.11179,0.00007,-7.3,1.96,3.04,0.256,3.3,132951
dispatch,381203,"kaydinhamby","stapler",1.306,2,48000,0.1432,0.01507,0.0005,21.23,0.03,0.26,0.605,9,34960
dispatch,398403,"Caitlin_100","letterbox",0.772,2,48000,0.6346,0.03847,0.00001,23.08,0.085,0.475,0.793,9,16145
dispatch,412062,"Citlaly","stapler",5.95,1,48000,1.0217,0.0519,0.00013,-6.18,0.015,0.635,0.783,29.65,145550
dispatch,412548,"hmilleo","stapler",1.496,2,48000,0.5956,0.01896,0,-6.87,0.01,0.98,0.818,9,40731
dispatch,426433,"dersinnsspace","tube",4.127,2,48000,0.5482,0.04786,-0.00043,52.5,1.395,0.005,1.261,51.24,92986
dispatch,426434,"dersinnsspace","tube",3.655,2,48000,0.3706,0.0225,-0.00019,35.27,0.84,0,1.447,48.01,85053
dispatch,426435,"dersinnsspace","tube",4.68,2,48000,0.8356,0.01684,-0.00015,-0.28,0.175,0,2.388,55.73,102651
dispatch,435219,"dersinnsspace","tube",5.489,2,48000,0.8163,0.01659,-0.0001,12.72,0.105,0,1.891,72.84,121592
dispatch,437551,"Leandri140029","stapler",7.114,2,48000,0.4569,0.00472,0,-23.76,0.015,2.735,1.915,8.75,177936
dispatch,444426,"MTJohnson","envelope",4.149,2,48000,0.1644,0.00534,-0.00001,5.34,0.035,1.935,1.458,28.9,75912
dispatch,444431,"MTJohnson","envelope",1.152,2,48000,0.0452,0.00354,-0.00001,-14.42,0.19,0.485,0.958,9,23280
dispatch,447927,"Breviceps","hole punch",1.41,2,48000,1.0367,0.14288,-0.00053,8.14,0.035,0.885,0.563,9,36531
dispatch,448474,"","",5.235,1,48000,0.864,0.0353,-0.00001,1.01,0.035,1.14,1.011,0.07,133440
dispatch,461875,"","",7.638,2,48000,0.6124,0.02518,-0.00001,9.39,0.235,4.595,2.204,16.17,88152
dispatch,470710,"","",1.59,2,48000,0.992,0.07792,-0.00028,18.25,0.06,0.56,2.022,0.37,38454
dispatch,494603,"","",4.784,2,48000,0.6427,0.03873,-0.00001,38.02,0.325,1.63,1.728,9,72196
dispatch,503034,"samarobryn","letterbox",3.428,2,48000,1.1059,0.04129,-0.00001,-8.86,0.05,2.38,1.782,4.94,86726
dispatch,560391,"","",6,2,48000,1.0661,0.20825,0.0002,19.28,0.165,3.625,0.517,0.13,113171
dispatch,593146,"21100375","envelope",2.635,1,48000,0.084,0.00332,0,-6.74,0.07,0.97,1.549,2.31,64320
dispatch,622677,"iut_Paris8","envelope",8,2,48000,0.722,0.30995,0.00034,50.97,1.335,3.665,0.349,1.78,94552
dispatch,628631,"el_boss","hole punch",7.027,2,48000,0.5977,0.01061,-0.00008,-2.47,0.015,1.095,1.75,4.72,178045
dispatch,662327,"ARodLRU2018","stapler",0.605,2,48000,0.2655,0.02367,0.00066,-3.21,0.04,0.17,9,9,13032
dispatch,671094,"","",6.259,2,48000,0.9386,0.0948,0.00001,16.65,0.155,4.125,0.481,0.46,108936
dispatch,683031,"","",0.709,2,48000,0.7928,0.10574,0.00176,31.51,0.135,0.175,9,9,19200
dispatch,79699,"labailey","slot machine coin",2.125,2,48000,0.275,0.05762,-0.00062,22.25,0.285,1.84,0.381,6.91,50200
dispatch,81122,"Josh Herman","stapler",3.55,2,48000,0.289,0.00386,0,-12.62,0.02,1.745,2.145,6.68,66192
dispatch,811339,"Sadiquecat","letterbox",6.156,1,48000,0.9649,0.02246,0,-4.37,0.075,4.81,0.713,22.31,143424
dispatch,811953,"Sadiquecat","letterbox",7.833,2,48000,0.3735,0.01604,0.00001,1.68,0.17,2.475,0.764,6.73,186960
dispatch,839951,"KerDwyn","slot machine coin",1.82,1,48000,0.4443,0.07913,-0.00023,9.28,0.105,0.685,0.19,4.22,32627
dispatch,852067,"","",1.031,1,48000,0.3056,0.01484,-0.00001,-4.59,0.11,0.495,0.578,9,27648
dispatch,855977,"","",2.455,2,48000,0.6082,0.05056,0.00005,-3.57,0.02,2.275,0.902,23.25,48269
dispatch,91490,"skynproduction","stapler",2.392,2,48000,1.0252,0.03432,0.00165,-10.26,0.015,0.755,1.301,7.19,58342
done,112844,"","",3.458,2,48000,0.3811,0.01209,-0.00001,3.41,0.11,1.51,2.333,3.36,80514
done,151271,"timgormly","lever",0.625,2,48000,0.703,0.08148,-0.0007,10.45,0.15,0.385,9,9,14610
done,318686,"","",1.148,2,48000,1.0247,0.07976,-0.00002,-5.04,0.06,0.59,0.548,9,25670
done,322433,"Glitchedtones","lever",0.772,2,48000,0.4904,0.02081,0.00014,3.25,0.095,0.175,0.751,9,22181
done,322434,"Glitchedtones","lever",1.614,2,48000,0.5645,0.01218,0.00007,-1,0.025,0.975,1.086,12.79,41332
done,345955,"","",2.921,1,48000,0.8676,0.04114,0,-6.78,0.075,2.385,1.101,14.6,72480
done,350641,"","",3.522,2,48000,0.0313,0.00282,-0.00002,7.99,0.8,1.515,0.911,20.15,82958
done,384698,"","",0.189,2,48000,0.9506,0.09802,0.00037,-7.98,0.025,0.075,9,9,8142
done,384699,"bassmosphere","relay",2.596,2,48000,1.1984,0.11795,-0.00312,-1.9,0.28,1.335,1.486,12.98,65229
done,384701,"","",0.582,2,48000,1.0801,0.08242,0.00003,-2.82,0.13,0.055,9,9,17743
done,403546,"","",5.934,1,48000,0.7581,0.03409,0,6.08,0.085,1.865,1.156,23.73,141024
done,406238,"","",6.135,1,48000,0.0237,0.00169,-0.00002,5.36,0.12,1.84,0.532,1.96,150672
done,455758,"","",7.776,2,48000,1,0.04714,-0.00008,6.58,0.255,1.465,1.708,6.65,186816
done,467184,"ThunderQuads","camera shutter",6.222,2,48000,0.3656,0.00867,-0.00001,-8.48,0.02,0.75,1.71,54.16,150195
done,467185,"ThunderQuads","camera shutter",7.142,2,48000,0.4362,0.01279,-0.00004,-18.47,0.015,0.37,1.541,0.96,174665
done,479418,"Janosch-JR","relay",7.512,2,48000,1.2459,0.11204,0.00118,-28.4,0.01,0.07,0.037,0.21,202768
done,506146,"mitchanary","lever",1.785,2,48000,0.1701,0.00774,-0.00016,-0.28,0.065,0.475,0.481,10.71,34848
done,513665,"115VAC","relay",1.01,1,48000,0.6087,0.05904,0.00003,26.96,0.02,0.805,0.23,9,8280
done,579874,"yfjesse","camera shutter",1.75,2,48000,0.9326,0.01401,0,-22.39,0.015,0.43,1.517,71.1,22789
done,579875,"yfjesse","camera shutter",4.875,2,48000,0.9235,0.01319,-0.00001,-9.98,0.01,0.575,2.251,9,62369
done,579876,"yfjesse","camera shutter",1.375,2,48000,0.9356,0.02921,-0.00001,-13.04,0.03,0.18,1.226,9,20055
done,579877,"yfjesse","camera shutter",2,2,48000,0.9295,0.02029,0,-9.4,0.02,1.01,1.462,62.91,35371
done,579878,"yfjesse","camera shutter",3.125,2,48000,0.9903,0.0195,0,-7.77,0.01,0.175,1.831,9,44278
done,579879,"yfjesse","camera shutter",3.875,2,48000,0.9752,0.01914,0,-17.61,0.065,2.225,1.672,62.62,70818
done,579880,"yfjesse","camera shutter",4,2,48000,0.9283,0.02379,0,-15.28,0.02,1.075,1.501,9,55596
done,579881,"yfjesse","camera shutter",2.875,2,48000,0.9774,0.05251,0,6.48,0.055,0.715,1.883,9,34386
done,579882,"yfjesse","camera shutter",3.5,2,48000,1.0175,0.02198,-0.00001,-2.98,0.02,1.42,2.897,9,30093
done,579883,"yfjesse","camera shutter",0.875,2,48000,0.9543,0.03364,0,-16.27,0.03,0.12,1.405,9,15546
done,579884,"yfjesse","camera shutter",4.5,2,48000,0.9549,0.02684,-0.00001,-20.15,0.04,3.345,1.058,40.57,76158
done,627815,"FrancoisTJP","tape stop",3.428,2,48000,0.8291,0.01829,-0.00016,-2.44,0.045,0.85,2.538,0.54,83274
done,627817,"FrancoisTJP","tape stop",2.478,2,48000,0.7929,0.02557,-0.00021,-0.66,0.05,0.58,2.242,6.37,61049
done,627827,"FrancoisTJP","tape stop",4.171,2,48000,0.3161,0.00716,-0.00015,1.88,0.03,2.475,1.401,12.38,102273
done,646168,"UFOS__","toggle",0.395,2,48000,1.0893,0.07236,0.00149,-16.43,0.02,0.125,9,9,10959
done,646169,"UFOS__","toggle",0.371,2,48000,1.0599,0.06168,0.00142,-15.95,0.02,0.11,9,9,10071
done,646170,"UFOS__","toggle",0.366,2,48000,1.0405,0.04991,0.00125,-22.93,0.02,0.05,9,9,10020
done,646171,"UFOS__","toggle",0.325,2,48000,1.0803,0.09298,0.002,-12.46,0.03,0.075,9,9,9601
done,646172,"UFOS__","toggle",0.534,2,48000,1.1336,0.083,0.0024,-12.91,0.03,0.115,9,9,13384
done,646173,"UFOS__","toggle",0.441,2,48000,1.1591,0.09234,0.00172,-15.61,0.04,0.18,9,9,12214
done,646174,"UFOS__","toggle",0.418,2,48000,1.0703,0.10399,0.00237,-12.99,0.03,0.105,9,9,11324
done,674028,"","",0.114,2,48000,0.0572,0.00713,-0.00001,-8.64,0.03,0,9,9,5793
done,680834,"not_yr","cassette",5.765,1,48000,0.7584,0.01293,0,-2.18,0.02,3.075,1.255,30.49,138912
done,721342,"Jerimee","toggle",0.284,1,48000,0.6866,0.06837,0,17.42,0.045,0.085,9,9,9840
done,734310,"","",3.325,2,48000,0.6324,0.01988,0,-31.7,0.02,2.93,0.805,1.23,35585
done,734311,"","",4.735,2,48000,0.7463,0.0293,0,-12.32,0.05,1.31,1.003,3.82,52321
done,734312,"","",3.588,2,48000,0.5442,0.02777,0,-14.99,0.065,1.91,0.772,1.21,40590
done,740251,"JoontheFloof","relay",0.125,2,48000,0.8275,0.05339,0,-46.26,0.005,0.005,9,9,4121
done,740252,"JoontheFloof","relay",0.25,2,48000,1.0534,0.04388,0,-44.14,0.005,0.04,9,9,7880
done,740253,"JoontheFloof","relay",0.125,2,48000,0.7401,0.04351,0,-40.48,0.01,0.1,9,9,4644
done,752744,"","",1.279,2,48000,0.8695,0.0508,-0.00003,8.46,0.11,0.7,0.612,9,25881
done,752748,"","",1.994,2,48000,0.9418,0.09086,0.00003,-6.2,0.06,1.69,0.245,5.11,42420
done,752749,"","",1.458,2,48000,0.5837,0.08053,-0.00003,-5.4,0.82,0.38,0.242,9,30260
done,752753,"sprinkleCipher","lever",0.738,2,48000,0.8544,0.0349,-0.00001,-6.42,0.045,0.27,9,9,16275
done,784946,"","",0.25,2,48000,0.7311,0.05418,0,-21.73,0.02,0.11,9,9,5568
done,803335,"","",5.419,2,48000,0.6166,0.09911,-0.00003,-6.84,0.86,3.4,0.287,6.89,127414
done,827344,"Mihacappy","lever",0.404,2,48000,0.4471,0.03958,-0.00004,-13.28,0.045,0.045,9,9,9168
done,827346,"Mihacappy","lever",0.414,2,48000,0.6219,0.03128,-0.00003,-8.98,0.165,0.04,9,9,9264
done,828131,"Mihacappy","lever",0.738,2,48000,0.4664,0.0161,-0.00006,1.66,0.07,0.32,9,9,17040
latch,177851,"Motion_S","case latch",0.597,1,48000,0.9941,0.02019,-0.00001,-4.44,0.01,0.005,9,9,16701
latch,213397,"chewiesmissus","latch",0.8,2,48000,0.4267,0.01648,-0.00331,3.76,0.09,0.23,0.63,9,22752
latch,322431,"Glitchedtones","latch",0.871,2,48000,0.6518,0.01729,-0.00004,2.53,0.09,0.06,0.956,9,24738
latch,322432,"Glitchedtones","latch",2.237,2,48000,0.5666,0.01035,0.00001,-0.99,0.025,0.985,1.272,0.26,55495
latch,451695,"kyles","latch",0.65,2,48000,0.4434,0.03552,0.00001,-3.75,0.18,0.16,9,9,18912
latch,451847,"kyles","latch",7.841,2,48000,0.2144,0.02199,-0.00001,-1.14,0.105,0.415,1.201,7.87,187200
latch,452607,"kyles","latch",4.838,1,48000,0.4748,0.01153,0,5.87,0.055,0.86,1.334,18.55,114096
latch,455806,"kyles","latch",4.613,2,48000,0.6165,0.0187,0,-2.46,0.035,3.685,1.536,22.05,115872
latch,509108,"wlabarron","door latch open",5.76,1,48000,0.9741,0.06931,-0.00003,26.12,0.14,3.89,2.197,16.06,136320
latch,528710,"Rolly-SFX","clasp open",0.45,2,48000,1,0.04956,-0.00011,-26.21,0.03,0.175,9,9,13776
latch,62449,"bsumusictech","case latch",1.006,2,48000,1.061,0.1587,0.00041,10.83,0.12,0.36,1.25,9,26667
latch,62450,"bsumusictech","case latch",0.812,2,48000,0.9764,0.13245,0.00208,17.58,0.05,0.41,1.221,9,22127
latch,62451,"bsumusictech","case latch",2.281,2,48000,0.982,0.19685,0.00576,23.9,0.08,0.59,1.07,11.11,58499
latch,655314,"johnnypanic","latch",2.516,1,48000,0.7063,0.05181,-0.00004,-3.07,0.55,0.125,1.599,46.22,57402
latch,682729,"RiceWitch","case latch",4.563,1,48000,1.0058,0.05047,-0.00007,6.28,0.035,2.605,1.227,40.97,112583
latch,683414,"SholeColtis","latch",7.674,2,48000,0.2119,0.02834,0.00002,22.23,0.13,0.045,0.963,19.45,146880
latch,764895,"Joshua_van_Zyl","case latch",4.465,2,48000,0.0249,0.00033,0,10.09,0.045,2.11,3.988,9,23736
latch,764896,"Joshua_van_Zyl","case latch",5,2,48000,0.0592,0.00064,0,3.14,0.045,2.45,3.43,9,35040
latch,795444,"randbsoundbites","clasp open",5.01,1,48000,0.5662,0.01026,0.00001,4.68,0.035,3.435,2.085,0.03,117921
latch,822397,"_sinny_","clasp open",0.193,2,48000,1.0089,0.04226,-0.00208,-8.47,0.045,0.14,9,9,7829
latch,835523,"Sadiquecat","case latch",0.18,1,48000,0.9727,0.07768,0.00005,7.83,0.015,0.12,9,9,6528
latch,844429,"Huglex","case latch",0.668,2,48000,0.6091,0.05082,0.00002,0.77,0.105,0.195,9,9,14870
latch,844430,"Huglex","case latch",0.834,2,48000,0.2177,0.02998,-0.00002,-5.32,0.325,0.115,0.712,9,15493
latch,844431,"Huglex","case latch",0.683,2,48000,0.5894,0.04743,0.00001,1.57,0.17,0.2,9,9,14767
latch,844432,"Huglex","case latch",1.027,2,48000,0.2159,0.02386,0.00001,-2.01,0.29,0.215,0.962,9,21705
latch,844433,"Huglex","case latch",0.851,2,48000,0.6526,0.04213,-0.00001,3.8,0.04,0.235,0.268,9,17215
latch,855584,"ApeinCave","door latch open",6.158,2,48000,0.6705,0.04642,-0.00001,-11.12,0.21,1.29,0.61,10.99,149743
room,108400,"filmfan87","empty room tone",13.27,1,48000,0.0045,0.00106,0,25.56,0.98,5.14,0.134,1.39,298272
room,232846,"xavimuse","silent room",14.268,2,48000,0.9267,0.09043,-0.00008,43.17,0.035,2.14,1.669,3.78,327683
room,250024,"launemax","silent room",44.287,2,48000,0.1611,0.01582,0.00001,25.64,0.015,5.125,1.575,5.09,993984
room,274339,"Frederik_Sunne","silent room",56,2,48000,0.1448,0.03369,0.00005,14.64,0.06,0.89,0.139,2.24,1273056
room,451616,"kyles","empty room tone",50.274,2,48000,0.1839,0.04871,-0.00004,45.69,0.235,4.94,0.068,0.23,1129728
room,451617,"kyles","room tone",16.383,2,48000,0.249,0.06042,-0.00002,28.71,0.05,3.555,0.273,0.95,382944
room,453551,"kyles","room tone",40.41,2,48000,0.0939,0.02225,-0.00002,23.47,1.8,6.2,0.035,0.21,915264
room,454168,"kyles","empty room tone",23.125,2,48000,0.0357,0.00558,0,12.72,2.05,5.95,0.109,0.33,524976
room,454169,"kyles","empty room tone",21.632,2,48000,0.0254,0.00533,0,15.63,5.78,2.22,0.072,0.38,491808
room,472662,"tvilgiat","empty room tone",16.859,1,48000,0.0019,0.00047,0,20.52,6.46,1.54,0.056,0.64,390003
room,472663,"tvilgiat","empty room tone",23.627,1,48000,0.0129,0.00323,0,28.81,0.17,3.24,0.199,0.27,543458
room,472664,"tvilgiat","empty room tone",15.52,1,48000,0.0045,0.00132,0,29.13,0.05,3.375,0.187,0.08,358543
room,472665,"tvilgiat","empty room tone",21.178,1,48000,0.0069,0.00174,0,30.75,0.12,4.54,0.11,0.11,478733
room,472666,"tvilgiat","empty room tone",13.627,1,48000,0.0115,0.00298,0,34.84,0.14,1.915,0.159,0.86,314880
room,472668,"tvilgiat","empty room tone",46.091,1,48000,0.01,0.00265,-0.00001,33.92,0.085,1.51,0.149,0.21,1058998
room,488045,"BenDrain","empty room tone",25.75,2,48000,0.0765,0.01739,0.00004,32.26,0.955,4.09,0.19,2.22,478128
room,547953,"Cyber-ray","silent room",9.732,2,48000,0.0157,0.00757,0.0073,23.76,0.58,7.42,0.025,0.22,185668
room,570015,"Sheyvan","empty room tone",50.896,2,48000,0.0346,0.00747,0,26.13,0.31,7.6,0.142,2.64,1180176
room,612161,"jb_stems","silent room",10.008,1,48000,0.3519,0.02496,0,18.69,0.17,3.79,1.258,9,191424
room,652672,"tortillathrilla","empty room tone",13.327,1,48000,0.2069,0.05736,-0.00016,26.74,0.09,3.7,0.115,0.68,310884
room,751343,"henner1964","silent room",35.84,2,48000,0.0254,0.00379,-0.00027,23.44,0.085,1.29,0.418,5.44,834432
room,794377,"Sadiquecat","silent room",8.625,2,48000,0.0563,0.00792,0,22.07,0.76,0.03,1.434,32.85,197856
room,794378,"Sadiquecat","silent room",11.314,2,48000,0.4382,0.05246,0.00001,48.65,3.88,0.045,0.911,46.63,258432
room,794379,"Sadiquecat","silent room",7.009,2,48000,0.0278,0.00349,0.00001,24.37,0.165,6.09,0.341,3.6,164064
room,794380,"Sadiquecat","silent room",6.435,2,48000,0.0362,0.00419,0,25.14,0.22,4.705,0.406,13.66,151296
room,794381,"Sadiquecat","silent room",4.635,2,48000,0.0234,0.00278,0,17.33,1.375,0.06,0.641,26.33,108816
room,794382,"Sadiquecat","silent room",2.66,2,48000,0.0591,0.00469,0,5.57,0.395,0.005,0.932,24.04,63408
room,794383,"Sadiquecat","silent room",8.444,2,48000,0.4971,0.07563,-0.00001,46.08,3.215,0.285,0.89,60.05,192960
room,794384,"Sadiquecat","silent room",7.475,2,48000,0.5661,0.08722,-0.00003,51.95,3.695,0.025,0.753,50.68,169632
room,794385,"Sadiquecat","silent room",10.837,2,48000,0.441,0.06311,0.00005,44.31,3.825,0.075,0.87,43.37,246000
room,794386,"Sadiquecat","silent room",12.407,2,48000,0.3414,0.04865,0.00002,48.23,4.585,0,0.584,13.74,281328
room,794428,"Sadiquecat","silent room",11.033,2,48000,0.1704,0.02478,0,43.03,3.51,0.075,0.804,17.54,248064
room,794429,"Sadiquecat","silent room",8.87,2,48000,0.2855,0.04915,-0.00002,44.57,5.825,0.03,0.77,25.54,199392
room,794431,"Sadiquecat","silent room",7.753,2,48000,0.1293,0.03055,0,49.73,2.415,0.745,0.872,30.83,176832
room,794437,"Sadiquecat","silent room",8.835,2,48000,0.1602,0.03722,0,47.81,6.195,0.545,0.696,40.21,200064
room,794460,"Sadiquecat","silent room",6.608,2,48000,0.1235,0.02852,0,42.28,2.655,0.005,0.746,39.92,154944
room,794462,"Sadiquecat","silent room",5.795,2,48000,0.1004,0.01873,0,42.8,3.155,0.12,0.87,34.74,131520
